Time,Latitude,Longitude
0,35.2036638,-97.4423526
2,35.2035535,-97.4435294
4,35.2035535,-97.4435294
6,35.2035273,-97.4433586
8,35.2034072,-97.4434166
10,35.2034944,-97.44342
12,35.2035535,-97.4435294
14,35.2035535,-97.4435294
16,35.2036739,-97.4435367
18,35.2033867,-97.443329
20,35.2035969,-97.44357
22,35.2035535,-97.4435294
24,35.2035535,-97.4435294
26,35.2035535,-97.4435294
28,35.2034767,-97.4433767
30,35.2035535,-97.4435294
32,35.2035865,-97.4435741
34,35.2035342,-97.4437296
36,35.2036277,-97.4437245
38,35.2038883,-97.4436217
40,35.2038889,-97.4435096
42,35.2039088,-97.4435624
44,35.2036037,-97.4434176
46,35.2036102,-97.4434998
48,35.2035535,-97.4435294
50,35.2031355,-97.4435053
52,35.2032976,-97.4435136
54,35.2029339,-97.4434717
56,35.2032448,-97.4434666
58,35.2032446,-97.4435322
60,35.2033216,-97.4435859
62,35.2035535,-97.4435294
64,35.2034844,-97.4434652
66,35.2030966,-97.4432298
68,35.2035072,-97.4434188
70,35.1992588,-97.4442217
72,35.1992588,-97.4442217
74,35.1989568,-97.4441711
76,35.1913178,-97.4449586
78,35.1875084,-97.441406
80,35.1821251,-97.4393233
82,35.1816336,-97.4399799
84,35.1814427,-97.4402302
86,35.1814427,-97.4402302
88,35.1813523,-97.4403867
90,35.1814427,-97.4402302
92,35.1816474,-97.4403036
94,35.1817107,-97.440327
96,35.1816789,-97.4402717
98,35.1819213,-97.4396431
100,35.1829832,-97.439338
102,35.1814841,-97.440214
104,35.189265,-97.4371975
106,35.1871385,-97.441285
108,35.191229,-97.4449361
110,35.2001436,-97.4442342
112,35.2032242,-97.4430721
114,35.203618,-97.4434208
116,35.2036005,-97.4434621
118,35.2032628,-97.4435759
120,35.203013,-97.4429883
122,35.2029859,-97.4426053
124,35.2034539,-97.4434209
126,35.1969895,-97.4442777
128,35.1904126,-97.4447228
130,35.1894639,-97.457091
132,35.1898539,-97.4649735
134,35.1967756,-97.4768651
136,35.1884796,-97.4895447
138,35.1823364,-97.4972249
140,35.1820511,-97.5338899
142,35.1821516,-97.5792285
144,35.1948371,-97.6251908
146,35.2139984,-97.6666056
148,35.2180663,-97.7163431
150,35.1966969,-97.7473382
152,35.1698346,-97.7831313
154,35.1425151,-97.816676
156,35.1150563,-97.8519861
158,35.0839178,-97.8882768
160,35.0500925,-97.9091535
162,35.0271406,-97.9340855
164,35.0094358,-97.9348897
166,34.9880055,-97.9446026
168,34.9581106,-97.9525395
170,34.921835,-97.9524629
172,34.8851933,-97.952249
174,34.8467759,-97.9556335
176,34.8109772,-97.9684098
178,34.7783516,-97.966411
180,34.7463129,-97.9583219
182,34.7097465,-97.9582896
184,34.6731749,-97.9582373
186,34.6498402,-97.957837
188,34.6310215,-97.9655887
190,34.6010826,-97.9672247
192,34.5869611,-97.9811269
194,34.5587508,-97.9948985
196,34.5235079,-97.996368
198,34.4914135,-97.99491
200,34.4663866,-97.9743
202,34.4330133,-97.9741548
204,34.3961962,-97.9735369
206,34.369981,-97.9642623
208,34.3446043,-97.9650046
210,34.3096635,-97.9650293
212,34.3036881,-97.9868615
214,34.3040607,-98.0185022
216,34.303834,-98.0517417
218,34.303842,-98.05174
220,34.3038356,-98.051578
222,34.3038556,-98.0517175
224,34.3038394,-98.0516984
226,34.303882,-98.0517299
228,34.313426,-98.0517754
230,34.3322635,-98.0518783
232,34.3574018,-98.0519228
234,34.3622881,-98.0449535
236,34.362121,-98.011927
238,34.3617977,-97.9821449
240,34.3689262,-97.965223
242,34.3908098,-97.9723408
244,34.4349355,-97.9741022
246,34.4663057,-97.9731886
248,34.49018,-97.9943262
250,34.5222407,-97.996346
252,34.5535256,-97.995269
254,34.5836416,-97.9808391
256,34.5943918,-97.9684755
258,34.598924,-97.9668797
260,34.631469,-97.9648917
262,34.6496985,-97.9578247
264,34.6778909,-97.9581995
266,34.7193359,-97.9581487
268,34.7611287,-97.9582206
270,34.7945636,-97.9663371
272,34.8125284,-97.9822657
274,34.8125242,-97.982247
276,34.8125149,-97.9821082
278,34.8392651,-97.9604786
280,34.839262,-97.9604801
282,34.8407062,-97.9594954
284,34.871807,-97.9521424
286,34.8807214,-97.9520126
288,34.9150698,-97.9522159
290,34.9350583,-97.9380609
292,34.9422733,-97.9271307
294,34.9422692,-97.9027532
296,34.9567935,-97.8952407
298,34.9567858,-97.8805407
300,34.9568363,-97.8573392
302,34.9216795,-97.8028491
304,34.9298703,-97.7707549
306,34.932817,-97.7679614
308,34.932817,-97.7679614
310,34.9328253,-97.7679624
312,34.9424632,-97.7589564
314,34.9427177,-97.7589099
316,34.9700025,-97.7588869
318,34.9859945,-97.7486834
320,34.9860368,-97.7204499
322,34.9859773,-97.6877906
324,34.986076,-97.6594839
326,35.0027303,-97.6530476
328,35.0274152,-97.6530497
330,35.0367347,-97.6443464
332,35.0257478,-97.6170867
334,35.018761,-97.5855641
336,35.0182937,-97.5647784
338,35.0430725,-97.5647199
340,35.055415,-97.5647121
342,35.0692298,-97.5647097
344,35.0825418,-97.5646785
346,35.1023293,-97.5688553
348,35.102367,-97.5457594
350,35.1024568,-97.5204622
352,35.1024105,-97.5133856
354,35.1023888,-97.4967567
356,35.1024357,-97.4779799
358,35.1160087,-97.4768609
360,35.1332397,-97.4768776
362,35.1487596,-97.4768419
364,35.1469197,-97.4771483
366,35.1487596,-97.4768419
368,35.1662026,-97.488763
370,35.1946114,-97.4840829
372,35.1893801,-97.4606268
374,35.1894977,-97.4440478
376,35.2014714,-97.4416311
378,35.202357,-97.4412513
380,35.2014725,-97.4416272
382,35.2018173,-97.4417156
384,35.2017871,-97.442083
386,35.2014733,-97.4421928
388,35.2018422,-97.4419035
390,35.202716,-97.4418813
392,35.2035616,-97.4436301
394,35.203557,-97.4435653
396,35.2036153,-97.4434338
398,35.2035547,-97.4435291
400,35.2035547,-97.4435291
